Iteration;Experiment;Strategy;Routing;Defense;ReconfigTime;Total Links Added;Links Added;Total Flux Links;Total Links Dropped;Links Dropped;Congestion;Loss;Throughput;Link Bandwidth Coefficient;Demand Factor;
1;Comcast_mcf-TBE-Comcast-background-plus-flashcrowd-0.5_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];1.663287;0.276352;0.723648;1;0.816673;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-0.7_0__-mcf;2;Comcast_semimcfraekeft-greylambda-Comcast-background-1.1_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];43;0;[];1.666084;0.231773;0.768134;1;1.3314103;
1;Comcast_semimcfraekeft-TBE-Comcast-background-0.3_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];0.564902;0.0;0.999952;1;0.3631119;
2;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.4_2__-mcf;-mcf greylambda;MCF;greylambda;0;0;[];16;0;[];0.790998;0.0;1.0;1;0.6533384;
1;Comcast_semimcfraekeft-TE-Comcast-background-plus-flashcrowd-0.9_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];4.432217;0.591184;0.408754;1;1.4700114;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-0.5_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];27;0;[];2.473959;0.385171;0.614662;1;0.816673;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-0.8_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];2.129007;0.400027;0.599973;1;1.3066768;
1;Comcast_mcf-greylambda-Comcast-background-1.2_2__-mcf;2;Comcast_semimcfraekeft-greylambda-Comcast-background-1.3_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];1.946566;0.387265;0.612661;1;1.5734849;
1;Comcast_mcf-TBE-Comcast-background-plus-flashcrowd-1.3_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];4.324546;0.647283;0.352717;1;2.1233498;
1;Comcast_semimcfraekeft-TE-Comcast-background-1.4_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];2.136029;0.447092;0.552804;1;1.6945221999999998;
1;Comcast_mcf-TBE-Comcast-background-1.0_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];1.25;0.136718;0.863282;1;1.210373;
2;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-0.6_2__-mcf;-mcf greylambda;MCF;greylambda;0;0;[];37;0;[];1.074394;0.042461;0.957539;1;0.9800076;
