Network,Traffic,Demand Factor,Traffic Engineering,Topology Programming,Max Link Congestion,Congestion Loss,Throughput
Comcast,background,0.1,semimcfraekeft,greylambda,0.136141,0.0,0.999888
Comcast,background,0.2,semimcfraekeft,greylambda,0.271066,0.0,0.999988
Comcast,background,0.3,semimcfraekeft,greylambda,0.45952,0.0,0.999958
Comcast,background,0.4,semimcfraekeft,greylambda,0.625563,0.0,0.999979
Comcast,background,0.5,semimcfraekeft,greylambda,0.749814,0.0,0.999983
Comcast,background,0.6,semimcfraekeft,greylambda,0.863627,0.0,0.999963
Comcast,background,0.7,semimcfraekeft,greylambda,1.049367,0.010787,0.989179
Comcast,background,0.8,semimcfraekeft,greylambda,1.064447,0.031178,0.96879
Comcast,background,0.9,semimcfraekeft,greylambda,1.300352,0.1049,0.895052
Comcast,background,1.0,semimcfraekeft,greylambda,1.537538,0.190252,0.809713
Comcast,background,1.1,semimcfraekeft,greylambda,1.462656,0.23052,0.769388
Comcast,background,1.2,semimcfraekeft,greylambda,1.648459,0.295783,0.704196
Comcast,background,1.3,semimcfraekeft,greylambda,2.133115,0.401157,0.598751
Comcast,background,1.4,semimcfraekeft,greylambda,1.875153,0.384037,0.615936
Comcast,background,1.5,semimcfraekeft,greylambda,2.195599,0.456966,0.542981
Comcast,background-plus-flashcrowd,0.1,semimcfraekeft,greylambda,0.459311,0.0,0.999911
Comcast,background-plus-flashcrowd,0.2,semimcfraekeft,greylambda,0.911672,0.0,0.999767
Comcast,background-plus-flashcrowd,0.3,semimcfraekeft,greylambda,1.351484,0.126356,0.873582
Comcast,background-plus-flashcrowd,0.4,semimcfraekeft,greylambda,1.934994,0.254791,0.745136
Comcast,background-plus-flashcrowd,0.5,semimcfraekeft,greylambda,2.375459,0.325235,0.674687
Comcast,background-plus-flashcrowd,0.6,semimcfraekeft,greylambda,2.790595,0.427414,0.572494
Comcast,background-plus-flashcrowd,0.7,semimcfraekeft,greylambda,3.314796,0.495054,0.504841
Comcast,background-plus-flashcrowd,0.8,semimcfraekeft,greylambda,3.898793,0.542293,0.457642
Comcast,background-plus-flashcrowd,0.9,semimcfraekeft,greylambda,4.139806,0.581141,0.418742
Comcast,background-plus-flashcrowd,1.0,semimcfraekeft,greylambda,4.333526,0.616865,0.383057
Comcast,background-plus-flashcrowd,1.1,semimcfraekeft,greylambda,5.385819,0.653364,0.346531
Comcast,background-plus-flashcrowd,1.2,semimcfraekeft,greylambda,5.537611,0.68439,0.315571
Comcast,background-plus-flashcrowd,1.3,semimcfraekeft,greylambda,6.336917,0.703922,0.296038
Comcast,background-plus-flashcrowd,1.4,semimcfraekeft,greylambda,6.678272,0.727801,0.272116
Comcast,background-plus-flashcrowd,1.5,semimcfraekeft,greylambda,7.182177,0.746211,0.253745
Comcast,background,0.1,semimcfraekeft,TBE,0.171519,0.0,0.999975
Comcast,background,0.2,semimcfraekeft,TBE,0.371678,0.0,0.999866
Comcast,background,0.3,semimcfraekeft,TBE,0.564902,0.0,0.999952
Comcast,background,0.4,semimcfraekeft,TBE,0.765154,0.0,0.999978
Comcast,background,0.5,semimcfraekeft,TBE,0.941521,0.0,0.999872
Comcast,background,0.6,semimcfraekeft,TBE,1.14742,0.057357,0.942501
Comcast,background,0.7,semimcfraekeft,TBE,1.344775,0.152723,0.847224
Comcast,background,0.8,semimcfraekeft,TBE,1.427891,0.217063,0.782861
Comcast,background,0.9,semimcfraekeft,TBE,1.592106,0.251888,0.748096
Comcast,background,1.0,semimcfraekeft,TBE,1.793422,0.317856,0.682123
Comcast,background,1.1,semimcfraekeft,TBE,2.012982,0.411557,0.588405
Comcast,background,1.2,semimcfraekeft,TBE,2.199206,0.463415,0.536532
