1 ('s1', 's2')
2 ('s1', 's4')
3 ('s4', 's3')
4 ('s2', 's7')
5 ('s7', 's6')
6 ('s6', 's5')
7 ('s7', 's8')
8 ('s8', 's5')
9 ('s7', 's9')
10 ('s9', 's10')
11 ('s7', 's14')
12 ('s14', 's11')
13 ('s11', 's12')
14 ('s9', 's13')
15 ('s10', 's19')
16 ('s19', 's15')
17 ('s19', 's18')
18 ('s18', 's17')
19 ('s17', 's16')
20 ('s14', 's20')
21 ('s20', 's21')
22 ('s21', 's22')
23 ('s22', 's23')
24 ('s23', 's16')
25 ('s3', 's25')
26 ('s25', 's24')
27 ('s20', 's26')
28 ('s26', 's27')
29 ('s27', 's28')
30 ('s24', 's33')
31 ('s33', 's32')
32 ('s32', 's28')
33 ('s28', 's29')
34 ('s33', 's31')
35 ('s31', 's30')
36 ('s30', 's29')
37 ('s2', 's1')
38 ('s12', 's33')
39 ('s3', 's4')
40 ('s4', 's1')
41 ('s33', 's12')
42 ('s12', 's11')
43 ('s28', 's27')
44 ('s27', 's26')
45 ('s5', 's6')
46 ('s6', 's7')
47 ('s7', 's2')
48 ('s5', 's8')
49 ('s8', 's7')
50 ('s33', 's24')
51 ('s9', 's7')
52 ('s15', 's22')
53 ('s10', 's9')
54 ('s22', 's21')
55 ('s11', 's14')
56 ('s14', 's7')
57 ('s24', 's25')
58 ('s25', 's3')
59 ('s22', 's15')
60 ('s16', 's17')
61 ('s13', 's9')
62 ('s15', 's19')
63 ('s19', 's10')
64 ('s21', 's20')
65 ('s20', 's14')
66 ('s29', 's30')
67 ('s28', 's32')
68 ('s17', 's18')
69 ('s18', 's19')
70 ('s16', 's23')
71 ('s23', 's22')
72 ('s26', 's20')
73 ('s32', 's33')
74 ('s30', 's31')
75 ('s29', 's28')
76 ('s31', 's33')
