2023-09-20 18:56:40,071 - onset-proc-1269427 - logger - <module> - INFO - Log file: logs/process_1269427_log.txt.
2023-09-20 18:56:44,844 - onset-proc-1269427 - simulator - __init__ - INFO - Nonce: ./.temp/2852318471d35a3c080eec7cd1ac67e848f6997d
2023-09-20 18:56:44,845 - onset-proc-1269427 - simulator - __init__ - INFO - Initializing simulator: surfNet coremelt_onset_coremelt 136
2023-09-20 18:56:44,845 - onset-proc-1269427 - simulator - _init_logging - INFO - Experiment ID:            surfNet_coremelt_onset_coremelt_1__-mcf
2023-09-20 18:56:44,845 - onset-proc-1269427 - simulator - verify_topo - INFO - topology file check passed with base topology file: /gpfs/projects/durairajanlab/mhall7/topology-programming/data/graphs/gml/surfNet.gml.
2023-09-20 18:56:44,863 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('1', '2') is present in self.logical_graph
2023-09-20 18:56:44,863 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('2', '4') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('2', '9') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('3', '4') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('3', '7') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('3', '42') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('4', '50') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('5', '8') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('5', '9') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('5', '10') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('6', '9') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('6', '48') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('7', '8') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('9', '31') is present in self.logical_graph
2023-09-20 18:56:44,864 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('9', '32') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('9', '33') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('9', '36') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('9', '37') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('9', '39') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('9', '48') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('10', '33') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('11', '12') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('12', '20') is present in self.logical_graph
2023-09-20 18:56:44,865 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('12', '24') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('13', '31') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('14', '15') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('14', '31') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('15', '16') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('15', '43') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('15', '46') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('16', '17') is present in self.logical_graph
2023-09-20 18:56:44,866 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('17', '18') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('18', '19') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('19', '20') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('20', '25') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('20', '31') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('21', '22') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('21', '27') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('22', '29') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('23', '31') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('23', '38') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('24', '31') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('25', '28') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('26', '28') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('26', '38') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('27', '28') is present in self.logical_graph
2023-09-20 18:56:44,867 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('27', '30') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('29', '30') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('31', '32') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('31', '37') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('31', '39') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('33', '34') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('33', '39') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('33', '40') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('34', '35') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('35', '36') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('38', '39') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('39', '40') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('41', '42') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('41', '50') is present in self.logical_graph
2023-09-20 18:56:44,868 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('43', '45') is present in self.logical_graph
2023-09-20 18:56:44,869 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('43', '47') is present in self.logical_graph
2023-09-20 18:56:44,869 - onset-proc-1269427 - alpwolf - add_circuit - WARNING - edge ('44', '45') is present in self.logical_graph
